"Latitude","Longitude"
37.5,-115.5
37.5,-114.5
37.5,-113.5
37.5,-112.5
37.5,-111.5
37.5,-110.5
37.5,-109.5
37.5,-108.5
37.5,-107.5
37.5,-106.5
37.5,-105.5
37.5,-104.5
37.5,-103.5
37.5,-102.5
37.5,-101.5
37.5,-100.5
37.5,-99.5
37.5,-98.5
37.5,-97.5
37.5,-96.5
37.5,-95.5
37.5,-94.5
37.5,-93.5
37.5,-92.5
37.5,-91.5
37.5,-90.5
37.5,-89.5
37.5,-88.5
37.5,-87.5
37.5,-86.5
37.5,-85.5
37.5,-84.5
37.5,-83.5
37.5,-82.5
37.5,-81.5
37.5,-80.5
37.5,-79.5
37.5,-78.5
37.5,-77.5
37.5,-76.5
36.5,-121.5
36.5,-120.5
36.5,-119.5
36.5,-118.5
36.5,-117.5
36.5,-116.5
36.5,-115.5
36.5,-114.5
36.5,-113.5
36.5,-112.5
36.5,-111.5
36.5,-110.5
36.5,-109.5
36.5,-108.5
36.5,-107.5
36.5,-106.5
36.5,-105.5
36.5,-104.5
36.5,-103.5
36.5,-102.5
36.5,-101.5
36.5,-100.5
36.5,-99.5
36.5,-98.5
36.5,-97.5
36.5,-96.5
36.5,-95.5
36.5,-94.5
36.5,-93.5
36.5,-92.5
36.5,-91.5
36.5,-90.5
36.5,-89.5
36.5,-88.5
36.5,-87.5
36.5,-86.5
36.5,-85.5
36.5,-84.5
36.5,-83.5
36.5,-82.5
36.5,-81.5
36.5,-80.5
36.5,-79.5
36.5,-78.5
36.5,-77.5
36.5,-76.5
35.5,-120.5
35.5,-119.5
35.5,-118.5
35.5,-117.5
35.5,-116.5
35.5,-115.5
35.5,-114.5
35.5,-113.5
35.5,-112.5
35.5,-111.5
35.5,-110.5
35.5,-109.5
35.5,-108.5
35.5,-107.5
35.5,-106.5
35.5,-105.5
35.5,-104.5
35.5,-103.5
35.5,-102.5
35.5,-101.5
35.5,-100.5
35.5,-99.5
35.5,-98.5
35.5,-97.5
35.5,-96.5
35.5,-95.5
35.5,-94.5
35.5,-93.5
35.5,-92.5
35.5,-91.5
35.5,-90.5
35.5,-89.5
35.5,-88.5
35.5,-87.5
35.5,-86.5
35.5,-85.5
35.5,-84.5
35.5,-83.5
35.5,-82.5
35.5,-81.5
35.5,-80.5
35.5,-79.5
35.5,-78.5
35.5,-77.5
35.5,-76.5
34.5,-119.5
34.5,-118.5
34.5,-117.5
34.5,-116.5
34.5,-115.5
34.5,-114.5
34.5,-113.5
34.5,-112.5
34.5,-111.5
34.5,-110.5
34.5,-109.5
34.5,-108.5
34.5,-107.5
34.5,-106.5
34.5,-105.5
34.5,-104.5
34.5,-103.5
34.5,-102.5
34.5,-101.5
34.5,-100.5
34.5,-99.5
34.5,-98.5
34.5,-97.5
34.5,-96.5
34.5,-95.5
34.5,-94.5
34.5,-93.5
34.5,-92.5
34.5,-91.5
34.5,-90.5
34.5,-89.5
34.5,-88.5
34.5,-87.5
34.5,-86.5
34.5,-85.5
34.5,-84.5
34.5,-83.5
34.5,-82.5
34.5,-81.5
34.5,-80.5
34.5,-79.5
34.5,-78.5
33.5,-117.5
33.5,-116.5
33.5,-115.5
33.5,-114.5
33.5,-113.5
33.5,-112.5
33.5,-111.5
33.5,-110.5
33.5,-109.5
33.5,-108.5
33.5,-107.5
33.5,-106.5
33.5,-105.5
33.5,-104.5
33.5,-103.5
33.5,-102.5
33.5,-101.5
33.5,-100.5
33.5,-99.5
33.5,-98.5
33.5,-97.5
33.5,-96.5
33.5,-95.5
33.5,-94.5
33.5,-93.5
33.5,-92.5
33.5,-91.5
33.5,-90.5
33.5,-89.5
33.5,-88.5
33.5,-87.5
33.5,-86.5
33.5,-85.5
33.5,-84.5
33.5,-83.5
33.5,-82.5
33.5,-81.5
33.5,-80.5
33.5,-79.5
32.5,-114.5
32.5,-113.5
32.5,-112.5
32.5,-111.5
32.5,-110.5
32.5,-109.5
32.5,-108.5
32.5,-107.5
32.5,-106.5
32.5,-105.5
32.5,-104.5
32.5,-103.5
32.5,-102.5
32.5,-101.5
32.5,-100.5
32.5,-99.5
32.5,-98.5
32.5,-97.5
32.5,-96.5
32.5,-95.5
32.5,-94.5
32.5,-93.5
32.5,-92.5
32.5,-91.5
32.5,-90.5
32.5,-89.5
32.5,-88.5
32.5,-87.5
32.5,-86.5
32.5,-85.5
32.5,-84.5
32.5,-83.5
32.5,-82.5
32.5,-81.5
31.5,-111.5
31.5,-110.5
31.5,-109.5
31.5,-108.5
31.5,-105.5
31.5,-104.5
31.5,-103.5
31.5,-102.5
31.5,-101.5
31.5,-100.5
31.5,-99.5
31.5,-98.5
31.5,-97.5
31.5,-96.5
31.5,-95.5
31.5,-94.5
31.5,-93.5
31.5,-92.5
31.5,-91.5
31.5,-90.5
31.5,-89.5
31.5,-88.5
31.5,-87.5
31.5,-86.5
31.5,-85.5
31.5,-84.5
31.5,-83.5
31.5,-82.5
31.5,-81.5
30.5,-104.5
30.5,-103.5
30.5,-102.5
30.5,-101.5
30.5,-100.5
30.5,-99.5
30.5,-98.5
30.5,-97.5
30.5,-96.5
30.5,-95.5
30.5,-94.5
30.5,-93.5
30.5,-92.5
30.5,-91.5
30.5,-90.5
30.5,-89.5
30.5,-88.5
30.5,-87.5
30.5,-86.5
30.5,-85.5
30.5,-84.5
30.5,-83.5
30.5,-82.5
30.5,-81.5
29.5,-103.5
29.5,-100.5
29.5,-99.5
29.5,-98.5
29.5,-97.5
29.5,-96.5
29.5,-95.5
29.5,-94.5
29.5,-91.5
29.5,-90.5
29.5,-82.5
29.5,-81.5
28.5,-99.5
28.5,-98.5
28.5,-97.5
28.5,-96.5
28.5,-82.5
28.5,-81.5
27.5,-98.5
27.5,-97.5
27.5,-82.5
27.5,-81.5
27.5,-80.5
26.5,-81.5
26.5,-80.5
